overnight_snow,commute_snow,mid_day_snow,total_snow,prior_day_snow,prior_min_temp,has_ice,min_temp,min_apparent_temp,is_extreme_cold,max_wind_gust,avg_humidity,avg_dew_point,min_pressure,date,target
1.75,0.21,0.0,1.96,0.0,3.0,0,-2.0,-6.5,1,38.9,62.041666666666664,-5.9624999999999995,1008.5,2019-12-11,1
0.0,0.0,0.0,0.0,0.0,4.9,0,1.9,-2.5,0,41.0,68.25,-0.5125,991.2,2019-12-15,1
0.28,1.05,0.0,1.33,0.0,1.9,0,0.6,-2.8,0,45.7,87.54166666666667,-0.24999999999999997,1005.0,2019-12-16,3
0.0,0.0,2.17,5.18,0.0,-0.6,0,-3.3,-7.3,1,31.0,81.08333333333333,-3.0124999999999997,997.0,2020-01-07,2
0.0,0.56,0.07,0.63,5.18,-3.3,0,-2.2,-6.7,1,59.8,64.375,-5.6499999999999995,1001.9,2020-01-08,3
0.0,0.0,0.0,0.0,0.63,-2.2,0,-5.1,-9.5,1,28.4,62.25,-7.533333333333334,1019.2,2020-01-09,1
0.0,0.0,0.0,0.0,0.0,1.0,0,-2.8,-8.3,1,52.2,53.666666666666664,-9.170833333333333,1016.1,2020-01-17,0
0.0,0.0,4.83,8.68,0.0,-3.0,0,-2.6,-7.3,1,47.5,84.08333333333333,-3.404166666666667,993.7,2020-12-16,3
0.07,0.0,0.0,0.07,8.68,-2.6,0,-5.2,-9.3,1,42.8,82.91666666666667,-4.254166666666666,995.8,2020-12-17,3
0.14,0.0,0.0,0.14,0.07,-5.2,0,-2.7,-6.0,1,25.6,83.91666666666667,-2.654166666666667,1007.7,2020-12-18,1
0.0,0.0,0.0,3.29,0.0,-5.0,0,-0.8,-4.7,0,21.6,73.0,-3.525,1002.5,2021-01-25,1
0.28,0.56,2.1,4.76,8.12,-2.5,0,-3.7,-8.7,1,41.8,88.29166666666667,-3.404166666666667,991.6,2021-02-01,3
0.56,0.21000000000000002,0.14,0.9100000000000001,4.76,-3.7,0,-1.8,-8.0,1,49.7,75.54166666666667,-4.229166666666667,987.3,2021-02-02,3
0.07,0.14,0.0,0.21000000000000002,0.9100000000000001,-1.8,0,-1.9,-8.0,1,49.7,65.91666666666667,-5.291666666666667,988.7,2021-02-03,1
0.7000000000000001,0.7,0.21000000000000002,2.0300000000000002,1.4,-2.3,0,-1.5,-5.2,0,28.8,88.29166666666667,-1.225,1005.7,2021-02-11,1
0.35000000000000003,0.0,0.0,0.35000000000000003,2.0300000000000002,-1.5,0,-2.8,-7.2,1,20.9,68.41666666666667,-6.720833333333334,1010.5,2021-02-12,1
0.7000000000000001,3.5700000000000003,4.97,9.31,0.0,-6.2,0,-4.0,-7.9,1,26.6,81.75,-5.466666666666666,1008.8,2021-02-18,3
0.49,0.84,0.42000000000000004,1.75,9.31,-4.0,0,-3.0,-7.8,1,34.9,85.54166666666667,-3.2375000000000003,1004.3,2021-02-19,3
1.61,6.65,4.34,12.6,0.0,6.1,0,-4.9,-9.6,1,49.3,76.83333333333333,-4.508333333333334,1002.3,2022-01-03,3
0.0,0.0,0.0,0.0,12.6,-4.9,0,-12.2,-16.8,1,28.8,79.41666666666667,-7.816666666666666,1010.8,2022-01-04,3
0.0,0.0,0.0,0.0,0.0,-12.2,0,-5.7,-10.7,1,40.0,82.625,-2.1166666666666667,993.5,2022-01-05,3
0.0,0.0,0.0,0.21000000000000002,0.0,-5.7,0,-0.9,-5.2,0,25.9,58.541666666666664,-5.233333333333333,994.3,2022-01-06,3
4.48,0.0,0.0,4.48,0.21000000000000002,-0.9,0,-9.0,-13.7,1,41.0,67.83333333333333,-9.129166666666666,995.1,2022-01-07,3
0.0,0.0,0.49,5.46,0.0,-7.6,0,-9.1,-13.9,1,65.5,57.833333333333336,-12.862499999999999,977.0,2022-01-16,3
0.14,0.28,0.0,0.42000000000000004,5.46,-9.1,0,-1.7,-8.1,1,70.9,72.0,-3.845833333333333,970.9,2022-01-17,3
0.0,0.0,0.0,0.0,0.42000000000000004,-1.7,0,-4.0,-8.3,1,47.2,65.08333333333333,-6.479166666666667,993.3,2022-01-18,0
0.0,0.49,0.0,0.49,0.0,-3.2,0,-5.2,-11.1,1,40.7,77.66666666666667,-2.829166666666667,1002.5,2022-01-20,3
0.0,0.0,0.0,0.07,0.0,-7.3,0,-8.3,-12.1,1,28.1,51.625,-12.420833333333334,1008.9,2022-01-27,3
0.0,0.0,0.0,0.0,0.0,-3.7,0,-0.1,-3.8,0,38.2,94.83333333333333,1.4249999999999998,992.2,2022-12-15,3
1.12,0.0,0.14,1.26,4.48,-4.6,0,-8.9,-14.9,1,45.7,79.375,-7.020833333333333,996.6,2024-01-16,3
0.0,0.0,0.0,0.0,1.26,-8.9,0,-12.4,-17.4,1,35.3,56.875,-15.304166666666667,1003.2,2024-01-17,1
1.05,1.75,1.26,4.41,0.0,-9.1,0,-5.7,-10.8,1,36.0,82.125,-5.025,993.8,2024-01-19,3
0.0,2.1,0.21,2.31,0.0,6.3,0,1.8,-3.2,0,56.9,74.95833333333333,-0.050000000000000024,981.5,2024-02-13,0
5.6,4.62,2.59,14.91,0.35000000000000003,-6.1,0,-4.1,-8.7,1,44.6,88.70833333333333,-4.875,990.6,2025-01-06,3
0.0,0.0,0.0,0.0,14.91,-4.1,0,-7.7,-13.9,1,51.1,74.08333333333333,-8.125,997.6,2025-01-07,3
0.0,0.0,0.0,0.0,0.0,-7.7,0,-6.4,-12.6,1,45.0,72.04166666666667,-8.808333333333334,1002.9,2025-01-08,3
0.0,0.0,0.0,0.0,0.0,-6.4,0,-8.1,-14.0,1,55.4,65.875,-11.304166666666667,1002.6,2025-01-09,3
0.0,0.0,0.0,0.49,0.0,-8.1,0,-8.2,-14.0,1,40.0,61.791666666666664,-10.799999999999999,994.5,2025-01-10,1
0.0,0.0,0.0,0.28,0.0,-12.2,0,-13.6,-18.6,1,22.0,59.333333333333336,-16.541666666666668,1017.1,2025-01-21,0
0.0,0.0,0.0,0.0,0.28,-13.6,0,-14.4,-20.0,1,26.3,57.041666666666664,-18.3875,1016.1,2025-01-22,0
0.0,0.0,0.0,0.0,0.0,-14.4,0,-13.9,-18.4,1,19.1,59.333333333333336,-14.295833333333334,1006.7,2025-01-23,0
0.0,0.0,0.0,0.0,0.21,-1.2,0,-0.5,-4.7,0,53.6,91.75,2.3041666666666667,995.4,2025-02-06,1
0.0,0.0,0.6300000000000001,8.4,0.0,-1.7,0,-2.8,-5.7,0,25.6,78.91666666666667,-4.3875,1008.1,2025-02-11,2
0.98,0.21000000000000002,0.21000000000000002,1.4,8.4,-2.8,0,-1.9,-5.4,0,21.2,93.25,-1.2666666666666666,1004.6,2025-02-12,3
0.07,0.07,0.0,0.14,0.0,-0.2,0,-0.1,-4.3,0,43.2,84.25,-0.8333333333333334,992.6,2025-12-02,0
0.28,1.4,0.35000000000000003,2.0300000000000002,0.0,-2.7,0,-3.0,-6.9,1,27.7,78.58333333333333,-5.2749999999999995,1002.0,2025-12-05,1
0.0,0.0,0.0,0.0,4.34,-9.6,0,-10.2,-16.5,1,42.8,62.166666666666664,-13.170833333333334,1008.9,2025-12-15,0
0.0,0.0,0.0,0.0,12.18,-10.4,0,-9.4,-16.0,1,50.0,72.5,-11.170833333333334,994.5,2026-01-26,3
0.0,0.0,0.0,0.0,0.0,-9.4,0,-16.7,-21.2,1,40.0,64.25,-14.6875,1001.3,2026-01-27,3
0.0,0.0,0.0,0.0,0.0,-16.7,0,-13.8,-18.6,1,34.2,63.083333333333336,-14.670833333333334,1003.7,2026-01-28,3
0.0,0.0,0.0,0.0,0.0,-13.8,0,-16.5,-21.0,1,41.4,65.58333333333333,-16.070833333333333,1005.6,2026-01-29,3
0.0,0.0,0.0,0.0,0.0,-16.5,0,-14.2,-19.4,1,28.8,66.25,-16.566666666666666,1009.7,2026-01-30,3
0.0,0.0,0.0,0.0,0.0,-12.4,0,-8.8,-15.2,1,47.2,62.416666666666664,-11.920833333333334,1004.4,2026-02-02,3
0.0,0.0,0.0,0.0,0.0,-8.8,0,-8.6,-12.3,1,14.0,68.91666666666667,-7.0625,1006.3,2026-02-03,1
0.0,0.0,0.0,0.0,0.0,-8.6,0,-6.9,-11.2,1,25.2,74.625,-5.875,1006.5,2026-02-04,1
