overnight_snow,commute_snow,mid_day_snow,total_snow,has_ice,min_temp,max_wind_gust,avg_humidity,avg_dew_point,min_pressure,date,target
0.14,0.63,0.0,0.77,0,-0.2,43.6,84.33333333333333,-0.9291666666666667,993.9,2025-12-02,1
0.14,0.9099999999999999,0.35000000000000003,1.4,0,-3.2,26.3,74.83333333333333,-6.008333333333333,1003.1,2025-12-05,3
0.0,0.0,0.0,0.07,0,-10.1,45.0,65.29166666666667,-12.666666666666666,1010.0,2025-12-15,1
0.0,0.0,0.0,0.0,0,-9.6,56.2,72.95833333333333,-11.325000000000001,995.9,2026-01-26,3
0.0,0.0,0.0,0.07,0,-15.4,45.4,66.0,-14.479166666666666,1002.7,2026-01-27,3
0.0,0.0,0.0,0.0,0,-13.4,35.3,63.958333333333336,-14.904166666666667,1005.2,2026-01-28,3
0.0,0.0,0.0,0.0,0,-15.4,40.3,68.375,-15.924999999999999,1006.9,2026-01-29,3
0.0,0.0,0.0,0.0,0,-14.2,28.8,66.20833333333333,-16.520833333333332,1011.0,2026-01-30,3
0.0,0.0,0.0,0.0,0,-9.0,50.0,63.375,-11.808333333333332,1005.8,2026-02-02,1
0.0,0.0,0.0,0.0,0,-6.6,24.1,70.66666666666667,-5.925,1007.7,2026-02-03,1
0.0,0.0,0.0,0.0,0,-7.2,29.2,74.45833333333333,-6.075,1008.1,2026-02-04,1
0.0,0.0,0.0,0.0,0,-10.1,23.0,70.58333333333333,-11.604166666666666,1000.1,2026-02-05,1
0.0,0.0,0.14,0.77,0,-13.3,26.3,78.83333333333333,-9.295833333333333,990.8,2026-02-06,1
0.77,0.28,0.0,1.05,0,-2.5,67.7,73.83333333333333,-3.7291666666666665,995.6,2026-02-23,3
0.0,0.0,0.0,0.0,0,-0.8,36.0,92.0,2.245833333333333,1009.1,2026-03-03,1
5.46,3.85,1.33,11.97,0,-4.2,43.9,87.20833333333333,-5.220833333333333,992.2,2025-01-06,3
0.0,0.0,0.0,0.0,0,-7.3,52.6,74.58333333333333,-7.925,999.3,2025-01-07,3
0.0,0.0,0.0,0.0,0,-6.8,47.5,71.20833333333333,-8.95,1004.1,2025-01-08,3
0.0,0.0,0.0,0.0,0,-7.9,58.7,63.0,-11.875,1003.8,2025-01-09,1
0.0,0.0,0.0,0.56,0,-7.8,45.7,57.666666666666664,-11.5,995.7,2025-01-10,1
0.0,0.0,0.0,0.21000000000000002,0,-14.7,27.4,60.125,-16.945833333333333,1018.7,2025-01-21,3
0.0,0.0,0.0,0.0,0,-15.2,26.6,58.833333333333336,-18.51666666666667,1017.3,2025-01-22,1
0.0,0.0,0.0,0.0,0,-13.5,21.2,61.458333333333336,-13.816666666666668,1008.1,2025-01-23,1
0.0,0.0,0.0,0.0,0,-0.7,44.3,90.0,1.4958333333333333,996.3,2025-02-06,1
0.0,0.0,0.35,6.02,0,-2.7,28.4,76.25,-4.770833333333333,1009.6,2025-02-11,2
0.9099999999999999,0.42000000000000004,0.28,1.61,0,-2.2,23.4,93.16666666666667,-1.325,1005.7,2025-02-12,3
1.54,0.0,0.49,2.0300000000000002,0,-8.9,47.5,77.83333333333333,-7.379166666666666,998.1,2024-01-16,3
